import took 958ms
elaboration took 90.4ms
instantiate metavars took 3.35s
process pre-definitions took 82.8ms
elaboration took 1.79s
type checking took 86.9ms
type checking took 139ms
compilation (LCNF base) took 99.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 60.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 59.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 62.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 61.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.5ms
