import took 947ms
interpretation of ProvableStructDeriving.provableStructDerivingHandler._boxed took 60.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 88.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 87.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 52.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 87.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 78.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 89.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 89.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 78.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 64ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 63.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 53ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 87.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 78.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 66.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 54.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 88.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 78.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 65.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 91ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 80.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 55.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 91.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 80.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 90.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 81.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 57.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 93.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 82.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 67.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 91.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 81.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 92.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 83.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 94.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 82ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 68.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 56.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 78.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 93.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 82.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 76.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 94.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 83.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 72.8ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 69.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.1ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 93ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 83.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 74.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 70.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 95.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 75.4ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 83.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 73.3ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.5ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.6ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 71.9ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 58.2ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 77.7ms
tactic execution of Lean.Parser.Tactic.rewriteSeq took 96.6ms
