Foundations.ChipAir	1.40	1.42	+0.02	+1.4%
Foundations.HWord	1.96	2.01	+0.05	+2.6%
Foundations.InteractionBus	1.51	1.52	+0.01	+0.7%
Foundations.InteractionRecovery	1.77	1.79	+0.02	+1.1%
Foundations.MulCarryChain	1.75	1.76	+0.01	+0.6%
Foundations.Register	23.01	23.29	+0.28	+1.2%
Foundations.SailMemory	8.09	8.17	+0.08	+1.0%
Foundations.SP1Constraint	1.83	1.83	+0.00	+0.0%
Operations.AddwOperation.Populate	1.95	1.98	+0.03	+1.5%
Operations.MulOperation	1.71	1.77	+0.06	+3.5%
Operations.ShiftBounds	2.96	3.08	+0.12	+4.1%
Operations.U16CompareOperation.Extracted	1.99	2.06	+0.07	+3.5%
Operations.U16CompareOperation.Formal	2.29	2.32	+0.03	+1.3%
Operations.U16CompareOperation.Populate	1.80	1.88	+0.08	+4.4%
Operations.U16CompareOperation.RawSpec	1.94	2.02	+0.08	+4.1%
Operations.U16MSBOperation.Extracted	2.00	2.06	+0.06	+3.0%
Operations.U16MSBOperation.Formal	2.29	2.30	+0.01	+0.4%
Operations.U16MSBOperation.Populate	1.91	1.93	+0.02	+1.0%
Operations.U16MSBOperation.RawSpec	1.95	1.96	+0.01	+0.5%
Operations.U16toU8OperationUnsafe	1.99	2.10	+0.11	+5.5%
Readers.RegisterAccessCols	2.04	2.05	+0.01	+0.5%
Readers.RegisterAccessTimestamp	2.24	2.25	+0.01	+0.4%
WitnessTests.AddOperationWitness	1.80	1.82	+0.02	+1.1%
WitnessTests.AddwOperationWitness	1.76	1.76	+0.00	+0.0%
WitnessTests.BitwiseOperationWitness	1.80	1.85	+0.05	+2.8%
WitnessTests.IsEqualWordOperationWitness	1.78	1.82	+0.04	+2.2%
WitnessTests.IsZeroOperationWitness	1.77	1.79	+0.02	+1.1%
WitnessTests.IsZeroWordOperationWitness	1.77	1.80	+0.03	+1.7%
WitnessTests.LtOperationUnsignedWitness	1.79	1.81	+0.02	+1.1%
WitnessTests.MulOperationWitness	3.65	3.66	+0.01	+0.3%
WitnessTests.SubwOperationWitness	1.76	1.77	+0.01	+0.6%
WitnessTests.U16CompareOperationWitnessVectors	1.86	1.87	+0.01	+0.5%
WitnessTests.U16MSBOperationWitnessVectors	1.75	1.76	+0.01	+0.6%
WitnessTests.WitnessConformance	1.79	1.79	+0.00	+0.0%
